hash_name,cost_price,profit_rub,profit_percent
Galil AR | Stone Cold (Field-Tested),127,-6,-5.0
MAC-10 | Disco Tech (Field-Tested),190,-4,-2.0
StatTrak™ Desert Eagle | Kumicho Dragon (Minimal Wear),4234,596,14.000000000000002
MAC-10 | Disco Tech (Factory New),1111,55,5.0
'Two Times' McCoy | USAF TACP,265,13,5.0
M4A1-S | Nitro (Factory New),813,-9,-1.0
Glock-18 | Weasel (Field-Tested),26,4,15.0
AK-47 | Rat Rod (Field-Tested),292,34,12.0
MP7 | Powercore (Minimal Wear),122,11,9.0
MP7 | Special Delivery (Field-Tested),103,10,10.0
AK-47 | Gold Arabesque (Field-Tested),219510,24165,11.0
M4A4 | Converter (Field-Tested),79,16,20.0
StatTrak™ XM1014 | Heaven Guard (Minimal Wear),1203,283,24.0
P250 | See Ya Later (Minimal Wear),392,16,4.0
★ Butterfly Knife | Gamma Doppler (Factory New),194578,2889,1.0
P250 | Undertow (Minimal Wear),3268,366,11.0
CZ75-Auto | The Fuschia Is Now (Minimal Wear),3211,342,11.0
AK-47 | Fire Serpent (Minimal Wear),103386,9535,9.0
M249 | Downtown (Minimal Wear),74,4,5.0
M4A1-S | Night Terror (Minimal Wear),93,14,15.0
Souvenir P2000 | Panther Camo (Minimal Wear),14,3,21.0
Desert Eagle | Trigger Discipline (Field-Tested),31,-2,-6.0
★ Navaja Knife | Case Hardened (Field-Tested),11772,2408,20.0
Five-SeveN | Retrobution (Minimal Wear),99,25,25.0
M4A1-S | Player Two (Field-Tested),1741,-28,-2.0
Danger Zone Case,66,-5,-8.0
SSG 08 | Hand Brake (Minimal Wear),88,-11,-12.0
SG 553 | Aloha (Factory New),16,4,25.0
★ M9 Bayonet | Doppler (Factory New),98644,-272,-0.0
SSG 08 | Azure Glyph (Factory New),70,12,17.0
AUG | Plague (Minimal Wear),69,21,30.0
StatTrak™ Nova | Toy Soldier (Minimal Wear),309,55,18.0
StatTrak™ Five-SeveN | Flame Test (Minimal Wear),23,5,22.0
P2000 | Turf (Minimal Wear),19,10,53.0
Sticker | G2 Esports (Holo) | Paris 2023,375,-16,-4.0
StatTrak™ P250 | Verdigris (Field-Tested),25,1,4.0
P250 | Verdigris (Factory New),42,5,12.0
Sticker | My Little Friend,72,31,43.0
StatTrak™ MAC-10 | Oceanic (Well-Worn),18,7,39.0
Sticker | Snappi (Gold) | Paris 2023,180,0,0.0
Sticker | sjuush (Gold) | Paris 2023,266,-3,-1.0
Sticker | WOOD7 (Gold) | Paris 2023,386,9,2.0
Sticker | m0NESY (Holo) | Paris 2023,1157,-29,-3.0
Sticker | G2 Esports (Gold) | Paris 2023,661,-9,-1.0
Sticker | forZe eSports (Holo) | Paris 2023,142,-12,-8.0
StatTrak™ FAMAS | Crypsis (Minimal Wear),66,-10,-15.0
MAC-10 | Whitefish (Factory New),49,7,14.000000000000002
P90 | Off World (Minimal Wear),22,2,9.0
USP-S | Cortex (Minimal Wear),318,20,6.0
UMP-45 | Arctic Wolf (Battle-Scarred),18,9,50.0
★ Butterfly Knife | Stained (Field-Tested),63956,-110,-0.0
XM1014 | Ziggy (Field-Tested),33,-2,-6.0
UMP-45 | Exposure (Battle-Scarred),31,4,13.0
"StatTrak™ Music Kit | Feed Me, High Noon",514,102,20.0
StatTrak™ Galil AR | Rocket Pop (Well-Worn),67,5,7.000000000000001
Gamma 2 Case,173,-23,-13.0
Sticker | gxx- (Gold) | Paris 2023,322,-50,-16.0
StatTrak™ Five-SeveN | Boost Protocol (Field-Tested),218,37,17.0
FAMAS | ZX Spectron (Field-Tested),110,1,1.0
M4A4 | In Living Color (Field-Tested),461,-1,-0.0
Enforcer | Phoenix,149,-10,-7.000000000000001
G3SG1 | Orange Kimono (Field-Tested),171,-18,-11.0
M4A1-S | Mud-Spec (Minimal Wear),38,-2,-5.0
StatTrak™ M4A1-S | Emphorosaur-S (Field-Tested),259,101,39.0
Desert Eagle | Trigger Discipline (Well-Worn),21,0,0.0
★ StatTrak™ Ursus Knife | Marble Fade (Factory New),41720,5345,13.0
MAG-7 | Core Breach (Field-Tested),87,-4,-5.0
Dual Berettas | Shred (Factory New),29,5,17.0
Tec-9 | Avalanche (Field-Tested),71,-6,-8.0
P2000 | Amber Fade (Factory New),1108,-93,-8.0
MAC-10 | Malachite (Field-Tested),92,13,14.000000000000002
Glock-18 | Grinder (Field-Tested),129,-3,-2.0
AWP | Worm God (Minimal Wear),134,16,12.0
SSG 08 | Fever Dream (Minimal Wear),74,-6,-8.0
StatTrak™ Desert Eagle | Oxide Blaze (Minimal Wear),101,-4,-4.0
StatTrak™ AK-47 | Elite Build (Minimal Wear),514,54,11.0
StatTrak™ AUG | Aristocrat (Factory New),538,141,26.0
PP-Bizon | Blue Streak (Field-Tested),108,18,17.0
P90 | Chopper (Minimal Wear),65,7,11.0
Desert Eagle | Bronze Deco (Factory New),92,-11,-12.0
Souvenir USP-S | Purple DDPAT (Factory New),851,51,6.0
Chef d'Escadron Rouchard | Gendarmerie Nationale,909,26,3.0
SSG 08 | Parallax (Field-Tested),188,23,12.0
Sawed-Off | Jungle Thicket (Factory New),238,21,9.0
PP-Bizon | Seabird (Factory New),235,11,5.0
StatTrak™ AWP | Atheris (Well-Worn),458,29,6.0
StatTrak™ Tec-9 | Fuel Injector (Battle-Scarred),392,-6,-2.0
StatTrak™ P90 | Module (Factory New),299,12,4.0
StatTrak™ Glock-18 | Bunsen Burner (Factory New),554,54,10.0
CZ75-Auto | The Fuschia Is Now (Field-Tested),1601,46,3.0
Five-SeveN | Boost Protocol (Factory New),224,27,12.0
R8 Revolver | Skull Crusher (Battle-Scarred),105,-7,-7.000000000000001
P90 | Off World (Well-Worn),16,1,6.0
StatTrak™ MAC-10 | Ensnared (Factory New),133,-6,-5.0
USP-S | Black Lotus (Minimal Wear),123,8,7.000000000000001
Tec-9 | Brother (Minimal Wear),54,-6,-11.0
"StatTrak™ Music Kit | The Verkkars, EZ4ENCE",513,8,2.0
StatTrak™ UMP-45 | Moonrise (Field-Tested),42,1,2.0
StatTrak™ MP5-SD | Gauss (Minimal Wear),91,47,52.0
MP5-SD | Gauss (Well-Worn),20,-1,-5.0
Galil AR | Akoben (Well-Worn),21,8,38.0
MP5-SD | Gauss (Field-Tested),22,0,0.0
StatTrak™ MAC-10 | Whitefish (Well-Worn),18,7,39.0
Sticker | Bad News Eagles (Holo) | Paris 2023,52,-9,-17.0
P250 | Visions (Minimal Wear),431,57,13.0
USP-S | Kill Confirmed (Factory New),14546,2765,19.0
StatTrak™ MAC-10 | Rangeen (Factory New),120,12,10.0
StatTrak™ MP9 | Mount Fuji (Minimal Wear),744,66,9.0
Desert Eagle | Ocean Drive (Minimal Wear),3442,386,11.0
StatTrak™ UMP-45 | Gold Bismuth (Field-Tested),309,107,35.0
StatTrak™ Galil AR | Connexion (Well-Worn),99,25,25.0
XM1014 | Entombed (Minimal Wear),379,-20,-5.0
StatTrak™ Desert Eagle | Mecha Industries (Battle-Scarred),833,88,11.0
★ M9 Bayonet | Marble Fade (Factory New),133468,8837,7.000000000000001
StatTrak™ USP-S | Guardian (Field-Tested),354,16,5.0
AK-47 | Baroque Purple (Battle-Scarred),433,69,16.0
StatTrak™ Glock-18 | Royal Legion (Field-Tested),309,40,13.0
Souvenir UMP-45 | Indigo (Field-Tested),63,0,0.0
R8 Revolver | Reboot (Minimal Wear),81,-9,-11.0
Sticker | Chief (Foil),103,24,23.0
Sticker | Chief (Holo),46,11,24.0
Sticker | Killjoy,70,26,37.0
Sticker | Killjoy (Holo),269,114,42.0
"StatTrak™ Music Kit | Skog, III-Arena",50,0,0.0
AWP | Phobos (Minimal Wear),96,8,8.0
Sticker | G2 Esports (Glitter) | Antwerp 2022,69,1,1.0
Sticker | Assassin (Holo),148,8,5.0
Sticker | Legendary (Foil),194,91,47.0
★ Moto Gloves | Polygon (Minimal Wear),31700,2800,9.0
StatTrak™ M4A4 | 龍王 (Dragon King) (Minimal Wear),3374,205,6.0
Nova | Exo (Factory New),23,3,13.0
Glock-18 | Night (Field-Tested),125,-8,-6.0
Five-SeveN | Monkey Business (Well-Worn),150,15,10.0
FAMAS | Mecha Industries (Minimal Wear),385,44,11.0
M4A4 | Tooth Fairy (Minimal Wear),402,0,0.0
StatTrak™ MP7 | Special Delivery (Field-Tested),248,42,17.0
CS:GO Weapon Case 2,1108,65,6.0
★ Moto Gloves | Cool Mint (Field-Tested),27771,3623,13.0
StatTrak™ AK-47 | Case Hardened (Well-Worn),35216,3592,10.0
MAG-7 | Monster Call (Factory New),121,-13,-11.0
Galil AR | Signal (Minimal Wear),54,-3,-6.0
StatTrak™ Glock-18 | Warhawk (Minimal Wear),60,0,0.0
Galil AR | Firefight (Minimal Wear),59,0,0.0
"StatTrak™ Music Kit | 3kliksphilip, Heading for the Source",123,3,2.0
M4A1-S | Printstream (Field-Tested),12656,249,2.0
MP5-SD | Bamboo Garden (Factory New),241,12,5.0
UMP-45 | Exposure (Factory New),102,-8,-8.0
★ Shadow Daggers | Doppler (Factory New),22872,1835,8.0
M4A1-S | Emphorosaur-S (Minimal Wear),148,-6,-4.0
Berlin 2019 Minor Challengers Autograph Capsule,136,-7,-5.0
PP-Bizon | Osiris (Minimal Wear),67,-1,-1.0
MAC-10 | Malachite (Minimal Wear),185,1,1.0
Dual Berettas | Royal Consorts (Minimal Wear),84,10,12.0
XM1014 | Hieroglyph (Factory New),15,1,7.000000000000001
MP5-SD | Kitbash (Field-Tested),30,-5,-17.0
★ Survival Knife | Urban Masked (Field-Tested),8394,1666,20.0
M4A1-S | Atomic Alloy (Factory New),6999,917,13.0
MAC-10 | Echoing Sands (Battle-Scarred),16,-3,-19.0
StatTrak™ MP9 | Capillary (Minimal Wear),56,-3,-5.0
MP7 | Armor Core (Factory New),23,-2,-9.0
AK-47 | The Empress (Well-Worn),2107,44,2.0
M4A1-S | Briefing (Minimal Wear),420,31,7.000000000000001
USP-S | Cortex (Field-Tested),164,9,5.0
M4A1-S | Mecha Industries (Field-Tested),2100,161,8.0
SG 553 | Dragon Tech (Field-Tested),43,4,9.0
Aces High Pin,562,16,3.0
StatTrak™ USP-S | Cortex (Battle-Scarred),357,39,11.0
MP9 | Ruby Poison Dart (Minimal Wear),82,-8,-10.0
M4A1-S | Mecha Industries (Minimal Wear),3299,266,8.0
P90 | Vent Rush (Field-Tested),43,-1,-2.0
StatTrak™ P250 | Cyber Shell (Minimal Wear),109,6,6.0
Sticker | Boost (Holo),93,24,26.0
StatTrak™ MAG-7 | Insomnia (Field-Tested),20,-2,-10.0
StatTrak™ P250 | Re.built (Minimal Wear),39,0,0.0
StatTrak™ XM1014 | Heaven Guard (Field-Tested),1022,301,28.999999999999996
StatTrak™ P250 | Asiimov (Well-Worn),778,31,4.0
R8 Revolver | Banana Cannon (Minimal Wear),78,-3,-4.0
Desert Eagle | Directive (Minimal Wear),117,2,2.0
StatTrak™ MAG-7 | Monster Call (Field-Tested),55,-2,-4.0
StatTrak™ PP-Bizon | Cobalt Halftone (Field-Tested),108,24,22.0
Glock-18 | Ironwork (Minimal Wear),16,6,38.0
P250 | Exchanger (Minimal Wear),63,-8,-13.0
CZ75-Auto | Tuxedo (Field-Tested),58,-8,-14.000000000000002
Nova | Bloomstick (Minimal Wear),1355,59,4.0
Sticker | Complexity Gaming (Holo) | Paris 2023,192,-17,-9.0
Jungle Rebel | Elite Crew,585,47,8.0
AWP | Atheris (Field-Tested),206,-15,-7.000000000000001
P250 | X-Ray (Factory New),50,-4,-8.0
G3SG1 | High Seas (Field-Tested),52,2,4.0
MP7 | Powercore (Field-Tested),52,-5,-10.0
StatTrak™ USP-S | Cortex (Field-Tested),443,36,8.0
StatTrak™ MP7 | Akoben (Minimal Wear),53,1,2.0
StatTrak™ SSG 08 | Mainframe 001 (Factory New),173,17,10.0
AWP | Atheris (Battle-Scarred),153,33,22.0
FAMAS | Afterimage (Minimal Wear),2977,-145,-5.0
StatTrak™ SCAR-20 | Fragments (Factory New),84,6,7.000000000000001
M4A1-S | Nightmare (Factory New),3286,225,7.000000000000001
AK-47 | Head Shot (Minimal Wear),3969,408,10.0
'Medium Rare' Crasswater | Guerrilla Warfare,1111,4,0.0
Sticker | Dragon Lore (Foil),1748,723,41.0
P250 | Exchanger (Field-Tested),40,-3,-7.000000000000001
Galil AR | Kami (Factory New),263,28,11.0
Sticker | arT (Glitter) | Antwerp 2022,17,63,371.0
Negev | dev_texture (Minimal Wear),39,-4,-10.0
StatTrak™ P2000 | Urban Hazard (Field-Tested),25,-14,-56.00000000000001
★ Flip Knife | Ultraviolet (Well-Worn),15894,4614,28.999999999999996
Tec-9 | Jambiya (Field-Tested),50,-8,-16.0
"Music Kit | Various Artists, Hotline Miami",270,3,1.0
"Music Kit | Meechy Darko, Gothic Luxury",67,-3,-4.0
Sticker | Call Your Flashes,15,0,0.0
Sticker | Twistzz (Glitter) | Antwerp 2022,23,2,9.0
SSG 08 | Fever Dream (Field-Tested),30,3,10.0
Souvenir MAC-10 | Indigo (Well-Worn),115,76,66.0
★ Flip Knife | Bright Water (Field-Tested),17452,3699,21.0
P90 | Grim (Minimal Wear),17,3,18.0
AWP | Sun in Leo (Minimal Wear),1430,47,3.0
AUG | Plague (Battle-Scarred),22,5,23.0
PP-Bizon | Anolis (Field-Tested),19,-3,-16.0
Sawed-Off | Full Stop (Field-Tested),31,-4,-13.0
★ Navaja Knife | Damascus Steel (Factory New),9322,2374,25.0
Sticker | Bomb Doge,173,60,35.0
StatTrak™ CZ75-Auto | Red Astor (Well-Worn),50,17,34.0
Sawed-Off | Highwayman (Field-Tested),50,15,30.0
Sticker | ANNIHILATION (Holo) | Paris 2023,54,-5,-9.0
Sticker | Techno4K (Holo) | Paris 2023,89,8,9.0
Sticker | 9INE (Glitter) | Paris 2023,28,-5,-18.0
StatTrak™ Desert Eagle | Blue Ply (Field-Tested),56,-3,-5.0
Sticker | roeJ (Holo) | Paris 2023,122,225,184.0
★ StatTrak™ Bowie Knife | Lore (Well-Worn),19498,1990,10.0
★ Hydra Gloves | Case Hardened (Field-Tested),8536,940,11.0
AK-47 | Elite Build (Battle-Scarred),72,10,14.000000000000002
Desert Eagle | Printstream (Factory New),8266,405,5.0
★ Butterfly Knife | Safari Mesh (Minimal Wear),49451,10054,20.0
"StatTrak™ Music Kit | Neck Deep, Life's Not Out To Get You",972,44,5.0
Paris 2023 Anubis Souvenir Package,210,2,1.0
Sticker | STYKO (Gold) | Paris 2023,161,-20,-12.0
Five-SeveN | Violent Daimyo (Field-Tested),14,-2,-14.000000000000002
★ Shadow Daggers | Bright Water (Minimal Wear),7717,896,12.0
AWP | Atheris (Factory New),1008,-61,-6.0
Sawed-Off | Devourer (Minimal Wear),472,46,10.0
★ Specialist Gloves | Crimson Web (Minimal Wear),59349,5463,9.0
★ Survival Knife | Urban Masked (Well-Worn),8103,1879,23.0
MP7 | Bloodsport (Minimal Wear),169,38,22.0
AWP | PAW (Minimal Wear),203,-6,-3.0
StatTrak™ AK-47 | Elite Build (Battle-Scarred),248,28,11.0
Galil AR | Dusk Ruins (Minimal Wear),948,656,69.0
USP-S | Neo-Noir (Field-Tested),1202,98,8.0
Sticker | m0NESY (Holo) | Antwerp 2022,2114,468,22.0
Souvenir AUG | Carved Jade (Field-Tested),625,66,11.0
★ StatTrak™ M9 Bayonet | Forest DDPAT (Field-Tested),36585,3667,10.0
M4A1-S | Master Piece (Factory New),48157,10495,22.0
M4A1-S | Flashback (Battle-Scarred),50,1,2.0
StatTrak™ MP5-SD | Necro Jr. (Minimal Wear),33,-4,-12.0
UMP-45 | Moonrise (Factory New),97,26,27.0
AWP | Atheris (Minimal Wear),404,26,6.0
XM1014 | Teclu Burner (Minimal Wear),100,-10,-10.0
StatTrak™ P2000 | Imperial (Minimal Wear),83,7,8.0
PP-Bizon | Jungle Slipstream (Field-Tested),14,-2,-14.000000000000002
"Music Kit | Troels Folmann, Uber Blasto Phone",249,108,43.0
AWP | Elite Build (Minimal Wear),1570,54,3.0
MP7 | Abyssal Apparition (Factory New),763,34,4.0
StatTrak™ P250 | X-Ray (Minimal Wear),129,25,19.0
StatTrak™ FAMAS | Crypsis (Field-Tested),26,1,4.0
★ Falchion Knife | Urban Masked (Minimal Wear),10698,2388,22.0
M4A4 | 龍王 (Dragon King) (Minimal Wear),1075,-37,-3.0
M4A1-S | Nitro (Minimal Wear),251,28,11.0
MP9 | Starlight Protector (Field-Tested),268,21,8.0
AWP | Black Nile (Minimal Wear),249,18,7.000000000000001
Sawed-Off | Serenity (Minimal Wear),160,23,14.000000000000002
P90 | Verdant Growth (Minimal Wear),149,8,5.0
Dual Berettas | Drift Wood (Field-Tested),158,12,8.0
★ Moto Gloves | Finish Line (Field-Tested),12351,1413,11.0
Sticker | Lucky (Foil) | Berlin 2019,157,17,11.0
AK-47 | Uncharted (Well-Worn),49,7,14.000000000000002
★ Ursus Knife | Scorched (Field-Tested),9404,463,5.0
PP-Bizon | Brass (Minimal Wear),158,-35,-22.0
Five-SeveN | Capillary (Factory New),28,14,50.0
★ M9 Bayonet | Fade (Factory New),188182,3122,2.0
StatTrak™ P2000 | Oceanic (Minimal Wear),47,4,9.0
Glock-18 | Candy Apple (Factory New),110,-9,-8.0
'The Doctor' Romanov | Sabre,467,31,7.000000000000001
Lt. Commander Ricksaw | NSWC SEAL,615,47,8.0
★ Specialist Gloves | Crimson Web (Field-Tested),22574,1563,7.000000000000001
★ Gut Knife | Crimson Web (Field-Tested),10555,1441,14.000000000000002
★ Bayonet | Night (Field-Tested),20311,356,2.0
AK-47 | Head Shot (Field-Tested),1972,12,1.0
Desert Eagle | Sputnik (Field-Tested),79,28,35.0
SG 553 | Heavy Metal (Factory New),35,5,14.000000000000002
P2000 | Amber Fade (Field-Tested),432,33,8.0
P90 | Neoqueen (Minimal Wear),88,3,3.0
SG 553 | Dragon Tech (Minimal Wear),91,0,0.0
Chem-Haz Specialist | SWAT,488,136,28.000000000000004
★ M9 Bayonet | Case Hardened (Well-Worn),50785,13744,27.0
P250 | Ripple (Minimal Wear),18,-1,-6.0
Desert Eagle | Oxide Blaze (Minimal Wear),24,-2,-8.0
Desert Eagle | Conspiracy (Field-Tested),415,63,15.0
AK-47 | Elite Build (Field-Tested),112,-11,-10.0
Galil AR | CAUTION! (Factory New),4472,312,7.000000000000001
Sticker | Poorly Drawn IDF,14,3,21.0
StatTrak™ MP9 | Hydra (Factory New),3020,233,8.0
StatTrak™ MP9 | Sand Scale (Minimal Wear),46,7,15.0
StatTrak™ AK-47 | Blue Laminate (Factory New),3130,79,3.0
AK-47 | Point Disarray (Field-Tested),789,-6,-1.0
Sticker | Dead Eye (Holo),439,15,3.0
★ Hand Wraps | Overprint (Well-Worn),17540,5022,28.999999999999996
★ M9 Bayonet | Night (Field-Tested),35908,6097,17.0
★ Butterfly Knife | Marble Fade (Factory New),183663,7729,4.0
ESL One Cologne 2014 Legends,8658,-536,-6.0
Negev | Terrain (Factory New),41,-7,-17.0
AK-47 | Steel Delta (Field-Tested),161,39,24.0
Tec-9 | Mummy's Rot (Battle-Scarred),108,-7,-6.0
★ Specialist Gloves | Lt. Commander (Battle-Scarred),10149,873,9.0
StatTrak™ PP-Bizon | Photic Zone (Field-Tested),59,-7,-12.0
UMP-45 | Wild Child (Battle-Scarred),172,12,7.000000000000001
Glock-18 | Umbral Rabbit (Field-Tested),37,10,27.0
Tec-9 | Snek-9 (Minimal Wear),19,-1,-5.0
StatTrak™ MP9 | Goo (Minimal Wear),135,18,13.0
Revolver Case,141,-13,-9.0
MAC-10 | Heat (Field-Tested),142,-4,-3.0
AWP | Sun in Leo (Factory New),2229,30,1.0
Glock-18 | Gamma Doppler (Field-Tested),3042,341,11.0
'Two Times' McCoy | TACP Cavalry,271,0,0.0
USP-S | Monster Mashup (Field-Tested),1416,118,8.0
AWP | Black Nile (Field-Tested),145,-19,-13.0
"StatTrak™ Music Kit | Denzel Curry, ULTIMATE",477,-16,-3.0
StatTrak™ Galil AR | Signal (Minimal Wear),148,-3,-2.0
Glock-18 | Water Elemental (Battle-Scarred),360,0,0.0
AWP | Exoskeleton (Field-Tested),186,39,21.0
★ Classic Knife | Case Hardened (Minimal Wear),24390,7712,32.0
Tec-9 | Sandstorm (Field-Tested),21,5,24.0
M4A4 | Temukau (Minimal Wear),6626,974,15.0
MAC-10 | Button Masher (Field-Tested),22,-2,-9.0
★ StatTrak™ Bayonet | Doppler (Factory New),67072,7835,12.0
AK-47 | Vulcan (Battle-Scarred),7032,564,8.0
StatTrak™ P90 | Vent Rush (Minimal Wear),226,-11,-5.0
Sticker | G2 Esports (Holo) | Stockholm 2021,480,-10,-2.0
StatTrak™ MAC-10 | Button Masher (Field-Tested),35,-1,-3.0
★ Bayonet | Autotronic (Well-Worn),42140,14266,34.0
StatTrak™ M249 | Downtown (Factory New),363,16,4.0
StatTrak™ AK-47 | Slate (Field-Tested),623,137,22.0
Glock-18 | Candy Apple (Field-Tested),49,5,10.0
MP5-SD | Agent (Field-Tested),46,-2,-4.0
AUG | Momentum (Field-Tested),145,1,1.0
Desert Eagle | Mecha Industries (Field-Tested),294,39,13.0
Dual Berettas | Cartel (Battle-Scarred),46,-3,-7.000000000000001
Dual Berettas | Melondrama (Factory New),798,183,23.0
Desert Eagle | Code Red (Factory New),6037,641,11.0
M4A4 | Desolate Space (Factory New),2175,-64,-3.0
Galil AR | Tuxedo (Field-Tested),58,-6,-10.0
★ Shadow Daggers | Freehand (Minimal Wear),9878,950,10.0
★ Hand Wraps | Desert Shamagh (Minimal Wear),6483,738,11.0
Galil AR | Connexion (Field-Tested),32,-5,-16.0
M4A1-S | Nightmare (Field-Tested),793,-6,-1.0
★ Huntsman Knife | Ultraviolet (Field-Tested),10670,758,7.000000000000001
★ Bloodhound Gloves | Snakebite (Minimal Wear),13337,1845,14.000000000000002
MP7 | Nemesis (Factory New),948,-54,-6.0
M4A1-S | VariCamo (Minimal Wear),121,-6,-5.0
2020 RMR Challengers,22,-2,-9.0
★ Ursus Knife | Ultraviolet (Field-Tested),14221,972,7.000000000000001
AUG | Random Access (Minimal Wear),223,2,1.0
Operation Wildfire Case,182,-11,-6.0
"StatTrak™ Music Kit | Juelz, Shooters",105,-8,-8.0
AWP | Capillary (Field-Tested),18,2,11.0
StatTrak™ SSG 08 | Necropos (Battle-Scarred),45,5,11.0
MAC-10 | Lapis Gator (Field-Tested),52,-10,-19.0
Galil AR | Tuxedo (Battle-Scarred),43,9,21.0
AK-47 | Cartel (Battle-Scarred),693,90,13.0
Sticker | headtr1ck (Holo) | Paris 2023,48,-7,-15.0
Sticker | The MongolZ (Holo) | Paris 2023,55,-5,-9.0
PP-Bizon | Lumen (Minimal Wear),62,-6,-10.0
AUG | Amber Fade (Factory New),147,-3,-2.0
"Music Kit | Chipzel, ~Yellow Magic~",96,-9,-9.0
StatTrak™ MAG-7 | Sonar (Minimal Wear),44,13,30.0
Negev | Power Loader (Minimal Wear),142,18,13.0
MAG-7 | Heaven Guard (Factory New),43,-2,-5.0
M4A4 | X-Ray (Minimal Wear),989,236,24.0
AK-47 | Uncharted (Field-Tested),26,1,4.0
Souvenir Negev | Bulkhead (Factory New),153,12,8.0
★ Huntsman Knife | Rust Coat (Battle-Scarred),9512,1138,12.0
StatTrak™ USP-S | Cyrex (Factory New),1375,268,19.0
StatTrak™ Glock-18 | Catacombs (Field-Tested),57,26,46.0
MP7 | Prey (Battle-Scarred),41,3,7.000000000000001
FAMAS | Night Borre (Well-Worn),344,4,1.0
MP5-SD | Gauss (Minimal Wear),42,-4,-10.0
StatTrak™ MAG-7 | SWAG-7 (Field-Tested),43,-4,-9.0
Sticker | apEX (Holo) | Paris 2023,85,-15,-18.0
★ Broken Fang Gloves | Unhinged (Minimal Wear),9343,1306,14.000000000000002
★ Ursus Knife | Damascus Steel (Field-Tested),13401,952,7.000000000000001
StatTrak™ FAMAS | Hexane (Minimal Wear),586,41,7.000000000000001
StatTrak™ CZ75-Auto | Hexane (Minimal Wear),231,219,95.0
MP9 | Starlight Protector (Factory New),1775,192,11.0
Markus Delrow | FBI HRT,238,41,17.0
Cmdr. Davida 'Goggles' Fernandez | SEAL Frogman,3388,448,13.0
Sticker | Team EnVyUs | MLG Columbus 2016,257,4,2.0
AUG | Navy Murano (Field-Tested),83,-15,-18.0
Desert Eagle | Mecha Industries (Minimal Wear),412,39,9.0
USP-S | Royal Blue (Minimal Wear),936,38,4.0
Souvenir P90 | Glacier Mesh (Field-Tested),131,49,37.0
★ Butterfly Knife,154192,1038,1.0
StatTrak™ Negev | Dazzle (Minimal Wear),108,9,8.0
StatTrak™ MAC-10 | Oceanic (Factory New),59,-3,-5.0
SSG 08 | Abyss (Field-Tested),26,1,4.0
M4A1-S | Leaded Glass (Minimal Wear),480,48,10.0
Sticker | yuurih (Holo) | Paris 2023,596,-79,-13.0
MAG-7 | BI83 Spectrum (Minimal Wear),94,1,1.0
★ Karambit | Urban Masked (Well-Worn),37940,8168,22.0
★ Falchion Knife | Safari Mesh (Field-Tested),8333,241,3.0
"Music Kit | Daniel Sadowski, Total Domination",251,-15,-6.0
Glock-18 | Water Elemental (Field-Tested),338,50,15.0
★ Falchion Knife | Freehand (Field-Tested),12737,2003,16.0
Crasswater The Forgotten | Guerrilla Warfare,738,44,6.0
XM1014 | Charter (Factory New),42,1,2.0
AK-47 | Fuel Injector (Minimal Wear),19627,1227,6.0
StatTrak™ UMP-45 | Arctic Wolf (Field-Tested),43,-7,-16.0
SCAR-20 | Powercore (Minimal Wear),48,-8,-17.0
SCAR-20 | Powercore (Field-Tested),34,-4,-12.0
P250 | Whiteout (Field-Tested),2032,57,3.0
Negev | Power Loader (Field-Tested),61,18,30.0
FAMAS | Valence (Factory New),508,113,22.0
★ Huntsman Knife | Gamma Doppler (Factory New),43360,-807,-2.0
★ Skeleton Knife | Forest DDPAT (Field-Tested),21402,894,4.0
AWP | Mortis (Battle-Scarred),160,22,14.000000000000002
StatTrak™ Negev | Lionfish (Minimal Wear),108,37,34.0
Souvenir MP9 | Music Box (Minimal Wear),42,13,31.0
Negev | Prototype (Factory New),20,-4,-20.0
★ M9 Bayonet | Crimson Web (Minimal Wear),130066,9314,7.000000000000001
SG 553 | Tiger Moth (Well-Worn),45,93,206.99999999999997
Glock-18 | Weasel (Well-Worn),23,6,26.0
MP5-SD | Necro Jr. (Factory New),25,-1,-4.0
Sticker | device (Foil) | Berlin 2019,125,10,8.0
Sticker | ENCE (Holo) | Katowice 2019,134,367,274.0
Souvenir Galil AR | Cold Fusion (Minimal Wear),135,-15,-11.0
Glock-18 | Water Elemental (Factory New),1056,230,22.0
Glock-18 | Royal Legion (Battle-Scarred),133,-2,-2.0
AK-47 | Blue Laminate (Factory New),946,-44,-5.0
StatTrak™ SCAR-20 | Poultrygeist (Minimal Wear),37,-2,-5.0
XM1014 | Zombie Offensive (Field-Tested),19,1,5.0
Tec-9 | Brother (Factory New),119,19,16.0
M4A1-S | Cyrex (Minimal Wear),1958,207,11.0
SG 553 | Heavy Metal (Minimal Wear),14,-1,-7.000000000000001
Sticker | Leaving The Station (Holo),595,-14,-2.0
"Sticker | Twistzz (Holo, Champion) | Antwerp 2022",175,28,16.0
PP-Bizon | Space Cat (Field-Tested),19,-1,-5.0
M249 | Midnight Palm (Factory New),279,28,10.0
StatTrak™ USP-S | The Traitor (Field-Tested),2811,7,0.0
Glock-18 | Vogue (Factory New),705,62,9.0
Tec-9 | Fuel Injector (Minimal Wear),360,-8,-2.0
Sticker | Heroic (Holo) | Paris 2023,162,-12,-7.000000000000001
USP-S | Whiteout (Minimal Wear),2771,252,9.0
AWP | Containment Breach (Minimal Wear),11653,1681,14.000000000000002
PP-Bizon | Antique (Minimal Wear),616,78,13.0
